artifactName,country,relicTime,material,library,size,description,moreUrl,imageUrl
Höhlen-Panorama,中国,1913-1914,,Museum für Asiatische Kunst,Objektmaß: 13 x 18 cm,4. Turfan-Expedition 1913-1914?,https://id.smb.museum/object/1856532/hohlen-panorama,https://recherche.smb.museum/images/42/4273074_1200x1200.jpg
Höhlen-Panorama,中国,1913-1914,,Museum für Asiatische Kunst,Objektmaß: 13 x 18 cm,4. Turfan-Expedition 1913-1914?,https://id.smb.museum/object/1856530/hohlen-panorama,https://recherche.smb.museum/images/42/4273072_1200x1200.jpg
Höhlen-Panorama,中国,1913-1914,,Museum für Asiatische Kunst,Objektmaß: 13 x 18 cm,4. Turfan-Expedition 1913-1914?,https://id.smb.museum/object/1856531/hohlen-panorama,https://recherche.smb.museum/images/42/4273073_1200x1200.jpg
Wandmalerei - Verlust,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907?,https://id.smb.museum/object/1856572/wandmalerei---verlust,https://recherche.smb.museum/images/42/4273327_1200x1200.jpg
Höhlen-Panorama,中国,1913-1914,,Museum für Asiatische Kunst,Objektmaß: 13 x 18 cm,4. Turfan-Expedition 1913-1914?,https://id.smb.museum/object/1856533/hohlen-panorama,https://recherche.smb.museum/images/42/4273075_1200x1200.jpg
Höhlenansicht,中国,1913-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,4. Turfan-Expedition 1913-1914?,https://id.smb.museum/object/1856535/hohlenansicht,https://recherche.smb.museum/images/42/4273078_1200x1200.jpg
Höhlen-Panorama und Ruinenfeld,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856560/hohlen-panorama-und-ruinenfeld,https://recherche.smb.museum/images/42/4273175_1200x1200.jpg
Höhlen-Panorama,中国,1913-1914,,Museum für Asiatische Kunst,Objektmaß: 13 x 18 cm,4. Turfan-Expedition 1913-1914?,https://id.smb.museum/object/1856534/hohlen-panorama,https://recherche.smb.museum/images/42/4273077_1200x1200.jpg
Panorama und Gebäude,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856539/panorama-und-gebaude,https://recherche.smb.museum/images/42/4273148_1200x1200.jpg
Höhlen-Panorama,中国,1913-1914,,Museum für Asiatische Kunst,Objektmaß: 13 x 18 cm,4. Turfan-Expedition 1913-1914?,https://id.smb.museum/object/1856536/hohlen-panorama,https://recherche.smb.museum/images/42/4273079_1200x1200.jpg
Gebäude,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856542/gebaude,https://recherche.smb.museum/images/42/4273154_1200x1200.jpg
Wandmalerei,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907?,https://id.smb.museum/object/1856575/wandmalerei,https://recherche.smb.museum/images/42/4273330_1200x1200.jpg
Ruinenfeld,中国,1902-1914,,Museum für Asiatische Kunst,Objektmaß: 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856537/ruinenfeld,https://recherche.smb.museum/images/42/4273081_1200x1200.jpg
Höhlen-Panorama,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856538/hohlen-panorama,https://recherche.smb.museum/images/42/4273146_1200x1200.jpg
Höhlen-Panorama und Ruinenfeld,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856576/hohlen-panorama-und-ruinenfeld,https://recherche.smb.museum/images/42/4273176_1200x1200.jpg
Höhlen-Panorama und Ruinenfeld,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856580/hohlen-panorama-und-ruinenfeld,https://recherche.smb.museum/images/42/4273180_1200x1200.jpg
Höhlen-Panorama und Ruinenfeld,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856577/hohlen-panorama-und-ruinenfeld,https://recherche.smb.museum/images/42/4273177_1200x1200.jpg
Gebäude,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856514/gebaude,https://recherche.smb.museum/images/42/4273262_1200x1200.jpg
Höhlen-Panorama und Ruinenfeld,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856578/hohlen-panorama-und-ruinenfeld,https://recherche.smb.museum/images/42/4273178_1200x1200.jpg
Ruinenfeld,中国,1902-1903,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,1. Turfan-Expedition 1902-1903,https://id.smb.museum/object/1856583/ruinenfeld,https://recherche.smb.museum/images/42/4273183_1200x1200.jpg
Gebäude,中国,1902-1903,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,1. Turfan-Expedition 1902-1903,https://id.smb.museum/object/1856584/gebaude,https://recherche.smb.museum/images/42/4273184_1200x1200.jpg
Höhlen-Panorama und Ruinenfeld,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856579/hohlen-panorama-und-ruinenfeld,https://recherche.smb.museum/images/42/4273179_1200x1200.jpg
Gebäude,中国,1902-1903,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,1. Turfan-Expedition 1902-1903,https://id.smb.museum/object/1856585/gebaude,https://recherche.smb.museum/images/42/4273185_1200x1200.jpg
Ruinenfeld,中国,1902-1903,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,1. Turfan-Expedition 1902-1903,https://id.smb.museum/object/1856581/ruinenfeld,https://recherche.smb.museum/images/42/4273181_1200x1200.jpg
Gebäude,中国,1902-1903,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,1. Turfan-Expedition 1902-1903,https://id.smb.museum/object/1856587/gebaude,https://recherche.smb.museum/images/42/4273187_1200x1200.jpg
Ruinenfeld,中国,1906-1907,,Museum für Asiatische Kunst,Objektmaß: 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856541/ruinenfeld,https://recherche.smb.museum/images/42/4273152_1200x1200.jpg
Gebäude,中国,1902-1903,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,1. Turfan-Expedition 1902-1903,https://id.smb.museum/object/1856586/gebaude,https://recherche.smb.museum/images/42/4273186_1200x1200.jpg
Gebäude,中国,1902-1903,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,1. Turfan-Expedition 1902-1903,https://id.smb.museum/object/1856582/gebaude,https://recherche.smb.museum/images/42/4273182_1200x1200.jpg
äußere Höhlenansicht,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856689/aussere-hohlenansicht,https://recherche.smb.museum/images/42/4273362_1200x1200.jpg
äußere Höhlenansicht,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856690/aussere-hohlenansicht,https://recherche.smb.museum/images/42/4273363_1200x1200.jpg
Höhlen-Panorama,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856694/hohlen-panorama,https://recherche.smb.museum/images/42/4273367_1200x1200.jpg
Höhlenansicht mit Wandmalereien,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856692/hohlenansicht-mit-wandmalereien,https://recherche.smb.museum/images/42/4273365_1200x1200.jpg
Höhlenansicht,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856693/hohlenansicht,https://recherche.smb.museum/images/42/4273366_1200x1200.jpg
Höhlenansicht mit Wandmalereien,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856691/hohlenansicht-mit-wandmalereien,https://recherche.smb.museum/images/42/4273364_1200x1200.jpg
Höhlen-Panorama,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856695/hohlen-panorama,https://recherche.smb.museum/images/42/4273368_1200x1200.jpg
Raumansicht,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856687/raumansicht,https://recherche.smb.museum/images/42/4273313_1200x1200.jpg
äußere Höhlenansicht,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856696/aussere-hohlenansicht,https://recherche.smb.museum/images/42/4273369_1200x1200.jpg
Höhlen-Panorama,中国,1913-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,4. Turfan-Expedition 1913-1914,https://id.smb.museum/object/1856699/hohlen-panorama,https://recherche.smb.museum/images/42/4273373_1200x1200.jpg
Höhlen-Panorama,中国,1913-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,4. Turfan-Expedition 1913-1914,https://id.smb.museum/object/1856697/hohlen-panorama,https://recherche.smb.museum/images/42/4273371_1200x1200.jpg
Portrait,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856672/portrait,https://recherche.smb.museum/images/42/4273297_1200x1200.jpg
Höhlen-Panorama,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856701/hohlen-panorama,https://recherche.smb.museum/images/42/4273375_1200x1200.jpg
Höhlen-Panorama,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856700/hohlen-panorama,https://recherche.smb.museum/images/42/4273374_1200x1200.jpg
Gruppenportrait,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856673/gruppenportrait,https://recherche.smb.museum/images/42/4273299_1200x1200.jpg
Höhlen-Panorama,中国,1913-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,4. Turfan-Expedition 1913-1914,https://id.smb.museum/object/1856698/hohlen-panorama,https://recherche.smb.museum/images/42/4273372_1200x1200.jpg
Gruppenportrait,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856676/gruppenportrait,https://recherche.smb.museum/images/42/4273302_1200x1200.jpg
Raumansicht,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856678/raumansicht,https://recherche.smb.museum/images/42/4273305_1200x1200.jpg
Portrait,中国,1902-1914,,Museum für Asiatische Kunst,Objektmaß: 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856674/portrait,https://recherche.smb.museum/images/42/4273300_1200x1200.jpg
Portrait,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856675/portrait,https://recherche.smb.museum/images/42/4273301_1200x1200.jpg
Szene,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856680/szene,https://recherche.smb.museum/images/42/4273307_1200x1200.jpg
Szene,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856679/szene,https://recherche.smb.museum/images/42/4273306_1200x1200.jpg
Portrait,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856683/portrait,https://recherche.smb.museum/images/42/4273309_1200x1200.jpg
Raumansicht,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856677/raumansicht,https://recherche.smb.museum/images/42/4273304_1200x1200.jpg
Gebäude,中国,1902-1903,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,1. Turfan-Expedition 1902-1903,https://id.smb.museum/object/1856588/gebaude,https://recherche.smb.museum/images/42/4273188_1200x1200.jpg
Straßenansicht,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856684/strassenansicht,https://recherche.smb.museum/images/42/4273310_1200x1200.jpg
Raumansicht,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856685/raumansicht,https://recherche.smb.museum/images/42/4273311_1200x1200.jpg
Gruppenportrait,中国,1913-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,4. Turfan-Expedition 1913-1914,https://id.smb.museum/object/1856622/gruppenportrait,https://recherche.smb.museum/images/42/4273222_1200x1200.jpg
Wandmalerei,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856621/wandmalerei,https://recherche.smb.museum/images/42/4273221_1200x1200.jpg
Höhlenansicht und Wandmalereien,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856620/hohlenansicht-und-wandmalereien,https://recherche.smb.museum/images/42/4273220_1200x1200.jpg
Gruppenportrait,中国,1904-1905,,Museum für Asiatische Kunst,,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856623/gruppenportrait,https://recherche.smb.museum/images/42/4273223_1200x1200.jpg
Gebäude,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856625/gebaude,https://recherche.smb.museum/images/42/4273225_1200x1200.jpg
Szene,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856681/szene,https://recherche.smb.museum/images/42/4273308_1200x1200.jpg
Gebäude,中国,1902-1903,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,1. Turfan-Expedition 1902-1903?,https://id.smb.museum/object/1856629/gebaude,https://recherche.smb.museum/images/42/4273229_1200x1200.jpg
Ruinenfeld,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905 oder 3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856627/ruinenfeld,https://recherche.smb.museum/images/42/4273227_1200x1200.jpg
Gebäude,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856624/gebaude,https://recherche.smb.museum/images/42/4273224_1200x1200.jpg
Gebäude,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856628/gebaude,https://recherche.smb.museum/images/42/4273228_1200x1200.jpg
Gebäude,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856626/gebaude,https://recherche.smb.museum/images/42/4273226_1200x1200.jpg
Gebäude,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856631/gebaude,https://recherche.smb.museum/images/42/4273231_1200x1200.jpg
Gebäude,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856630/gebaude,https://recherche.smb.museum/images/42/4273230_1200x1200.jpg
Höhlen-Panorama,中国,1913-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,4. Turfan-Expedition 1913-1914?,https://id.smb.museum/object/1856635/hohlen-panorama,https://recherche.smb.museum/images/42/4273234_1200x1200.jpg
Gebäude,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856633/gebaude,https://recherche.smb.museum/images/42/4273233_1200x1200.jpg
Höhlen-Panorama,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905?,https://id.smb.museum/object/1856637/hohlen-panorama,https://recherche.smb.museum/images/42/4273236_1200x1200.jpg
Höhlen-Panorama,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856639/hohlen-panorama,https://recherche.smb.museum/images/42/4273240_1200x1200.jpg
Gebäude,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856632/gebaude,https://recherche.smb.museum/images/42/4273232_1200x1200.jpg
Gebäude,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856645/gebaude,https://recherche.smb.museum/images/42/4273271_1200x1200.jpg
äußere Höhlenansicht,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856642/aussere-hohlenansicht,https://recherche.smb.museum/images/42/4273242_1200x1200.jpg
Gebäude,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856644/gebaude,https://recherche.smb.museum/images/42/4273270_1200x1200.jpg
Ruinenfeld,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856636/ruinenfeld,https://recherche.smb.museum/images/42/4273235_1200x1200.jpg
Höhlen-Panorama,中国,1913-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,4. Turfan-Expedition 1913-1914,https://id.smb.museum/object/1856641/hohlen-panorama,https://recherche.smb.museum/images/42/4273241_1200x1200.jpg
Ruinenfeld,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856650/ruinenfeld,https://recherche.smb.museum/images/42/4273276_1200x1200.jpg
Gebäude,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856646/gebaude,https://recherche.smb.museum/images/42/4273272_1200x1200.jpg
Gebäude,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856647/gebaude,https://recherche.smb.museum/images/42/4273273_1200x1200.jpg
Gebäude,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856652/gebaude,https://recherche.smb.museum/images/42/4273278_1200x1200.jpg
Gebäude,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856649/gebaude,https://recherche.smb.museum/images/42/4273275_1200x1200.jpg
Gebäude,中国,1913-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,4. Turfan-Expedition 1913-1914,https://id.smb.museum/object/1856590/gebaude,https://recherche.smb.museum/images/42/4273190_1200x1200.jpg
Ruinenfeld,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856594/ruinenfeld,https://recherche.smb.museum/images/42/4273194_1200x1200.jpg
Ruinenfeld,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856593/ruinenfeld,https://recherche.smb.museum/images/42/4273193_1200x1200.jpg
Ruinenfeld,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856592/ruinenfeld,https://recherche.smb.museum/images/42/4273192_1200x1200.jpg
Gebäude,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856595/gebaude,https://recherche.smb.museum/images/42/4273195_1200x1200.jpg
Ruinenfeld,中国,1913-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,4. Turfan-Expedition 1913-1914,https://id.smb.museum/object/1856591/ruinenfeld,https://recherche.smb.museum/images/42/4273191_1200x1200.jpg
Gebäude,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856596/gebaude,https://recherche.smb.museum/images/42/4273196_1200x1200.jpg
Gebäude,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856597/gebaude,https://recherche.smb.museum/images/42/4273197_1200x1200.jpg
Gebäude und Lehmplastik,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856598/gebaude-und-lehmplastik,https://recherche.smb.museum/images/42/4273198_1200x1200.jpg
Höhlen-Panorama,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856600/hohlen-panorama,https://recherche.smb.museum/images/42/4273200_1200x1200.jpg
Höhlen-Panorama,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856599/hohlen-panorama,https://recherche.smb.museum/images/42/4273199_1200x1200.jpg
Gebäude und Lehmplastik,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856605/gebaude-und-lehmplastik,https://recherche.smb.museum/images/42/4273205_1200x1200.jpg
Straßenansicht,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856606/strassenansicht,https://recherche.smb.museum/images/42/4273206_1200x1200.jpg
Panorama und Gebäude,中国,1902-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,1. Turfan-Expedition 1902-1903 oder 3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856602/panorama-und-gebaude,https://recherche.smb.museum/images/42/4273202_1200x1200.jpg
Höhlen-Panorama,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856603/hohlen-panorama,https://recherche.smb.museum/images/42/4273203_1200x1200.jpg
Höhlenansicht,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856651/hohlenansicht,https://recherche.smb.museum/images/42/4273277_1200x1200.jpg
Höhlen-Panorama,中国,1906-1907,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,3. Turfan-Expedition 1906-1907,https://id.smb.museum/object/1856608/hohlen-panorama,https://recherche.smb.museum/images/42/4273208_1200x1200.jpg
Gebäude,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856607/gebaude,https://recherche.smb.museum/images/42/4273207_1200x1200.jpg
Panorama,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856610/panorama,https://recherche.smb.museum/images/42/4273210_1200x1200.jpg
Höhlen-Panorama und Ruinenfeld,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856612/hohlen-panorama-und-ruinenfeld,https://recherche.smb.museum/images/42/4273212_1200x1200.jpg
Panorama,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856611/panorama,https://recherche.smb.museum/images/42/4273211_1200x1200.jpg
Ruinenfeld,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856615/ruinenfeld,https://recherche.smb.museum/images/42/4273215_1200x1200.jpg
Höhlen-Panorama mit Gebäuden,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856614/hohlen-panorama-mit-gebauden,https://recherche.smb.museum/images/42/4273214_1200x1200.jpg
Gebäude,中国,1904-1905,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,2. Turfan-Expedition 1904-1905,https://id.smb.museum/object/1856617/gebaude,https://recherche.smb.museum/images/42/4273217_1200x1200.jpg
Ruinenfeld,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856609/ruinenfeld,https://recherche.smb.museum/images/42/4273209_1200x1200.jpg
Höhlen-Panorama,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856601/hohlen-panorama,https://recherche.smb.museum/images/42/4273201_1200x1200.jpg
Ruinenfeld,中国,1902-1914,,Museum für Asiatische Kunst,Plattengröße (Foto): 13 x 18 cm,Turfan-Expedition [1902-1914],https://id.smb.museum/object/1856498/ruinenfeld,https://recherche.smb.museum/images/42/4273247_1200x1200.jpg
