id,artifactName,artifactName_Chinese,country,relicTime,relicTime_chinese,material,material_Chinese,library,library_Chinese,size,size_Chinese,description,description_Chinese,moreUrl,imageUrl,order_time
1261,Geschichte der goldenen Fessel,黄金枷锁的历史,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"(siehe auch VII_78_0813)
Ort: Běipíng 北平 
Modus: fǎnèrhuáng 反二黄
Rollentyp: huāshān 花衫 (spezielle weibliche Rolle)
Name: Chéng, Yànqiū 程艶秋
Name des Stücks: ""Geschichte der goldenen Fessel"" Jīnsuǒjì 金鎻記, Teil 1 und 2","(siehe auch VII_78_0813)
 Ort: Běipíng 北平
 Modus: fǎnèrhuáng 反二黄
 Rollentyp: huāshān 花衫(spezielle weibliche Rolle)
 Name: Chéng, Yànqiū 程艶秋
 Name des Stücks: ""Geschichte der goldenen Fessel"" Jīnsuǒjì金鎻记, Teil 1 und 2",https://id.smb.museum/object/241013/titel-a-geschichte-der-goldenen-fessel--%E9%87%91%E9%8E%BB%E8%A8%98-teil-1%0D%0Atitel-b-s--a-teil-2,https://recherche.smb.museum/images/52/5226582_1200x1200.jpg,
1262,Líwōyíxiào zhī tiāntái shǎnghuā,梨涡一笑之天台赏花,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"Ort: Hong Kong (Gattung: Kanton-Oper)
Modus/Tempo: zhōngbǎn 中板
Rollentyp: wéi yī xiǎoshēng 唯一小生 ( wéi yī = allein, solo; xiǎoshēng = Rolle d. jungen Mannes)
Name des Schauspielers: Bái, Jūróng 白駒榮 
Name des Stücks: Líwōyíxiào zhī tiāntái shǎnghuā  梨渦一笑之天台赏花","Ort: Hong Kong (Gattung: Kanton-Oper)
 Modus/Tempo: zhōngbǎn 中板
 Rollentyp: wéi yī xiǎoshēng 唯一小生( wéi yī = allein, solo; xiǎoshēng = Rolle d. jungen Mannes)
 Name des Schauspielers: Bái , Jūróng 白驹荣
 Name des Stücks: Líwōyíxiào zhī tiāntái shǎnghuā 梨涡一笑之天台赏花",https://id.smb.museum/object/241012/titel-a-liwoyixiao-zhi-tiantai-shanghua-%E6%A2%A8%E6%B8%A6%E4%B8%80%E7%AC%91%E4%B9%8B%E5%A4%A9%E5%8F%B0%E8%B5%8F%E8%8A%B1-teil-1%0D%0Atitel-b--s--a-teil-2,https://recherche.smb.museum/images/52/5226569_1200x1200.jpg,
1263,Palast des ewigen Lebens,长生殿,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"(gleich wie VII 78/0818)
Ort: Kūnshān 崑山
Gattung: Kūn-Oper
Rollentyp: Zhùmíng Kūnqǔ Dàjiā 著名昆曲大家 (""großartige Schauspieler der Kūn-Oper)
Interpret: Yú Zhèn Fēi (jūn) 俞掁飛君 *(jūn 君 ist nur ein Suffix für Männernamen)
Titel der Stücke: Seite A: Der Päonien-Pavillon  Mǔdāntíng  牡丹亭 ; Seite B: ""Palast des langen Lebens"" Chángshēngdiàn 長生殿
zu A unten: jīngmèng 驚夢 ""erschrecken [hier: mit Schreck aus dem Traum gerissen werden]; zu B unten:  jīngbiàn 驚變 ""überraschende Veränderung durch einen Vorfall""","(gleich wie VII 78/0818)
 Ort: Kūnshān 昆山
 Gattung: Kūn-Oper
 Rollentyp: Zhùmíng Kūnqǔ Dàjiā 著名昆曲大家(""großartige Schauspieler der Kūn-Oper)
 Interpret: Yú Zhèn Fēi (jūn) 俞掁飞君*( jūn 君ist nur ein Suffix für Männernamen)
 Titel der Stücke: Seite A: Der Päonien-Pavillon Mǔdāntíng 牡丹亭; Seite B: ""Palast des langen Lebens"" Chángshēngdiàn 长生殿
 zu A unten: jīngmèng 惊梦""erschrecken [hier : mit Schreck aus dem Traum gerissen werden]; zu B unten: jīngbiàn 惊变""überraschende Veränderung durch einen Vorfall""",https://id.smb.museum/object/241009/titel-a-chines--der-paonien-pavillon-%E6%89%97%E4%B8%B9%E4%BA%AD%0D%0Atitel-b-chines--palast-des-ewigen,https://recherche.smb.museum/images/52/5226532_1200x1200.jpg,
1264,Jìzǐ - Shàngfén,寄子上坟,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"Seite A:
Gattung: Peking Oper
Rolle: lǎoshēng 老生 (alter Mann)
Titel: ""Líntóng-Berg"" Líntóngshān 臨潼山 
Schauspielername[?]: Guō Yì Táng  郭益堂
Seite B:
Rolle:  lǎoshēng 老生 (alter Mann)
Titel: Jìzǐ - Shàngfén  寄子上坟, *(Jìzǐ ist hier eine Abkürzung für sāngyuán jìzǐ 桑园寄子 ""den Sohn im Maulbeerbaumgarten zurücklassen"", Shàngfén 上坟 bedeutet ""ein Grab besuchen"")
Schauspieler: Zhōu, Huátíng  周華亭","Seite A:
 Gattung: Peking Oper
 Rolle: lǎoshēng 老生(alter Mann)
 Titel: ""Líntóng-Berg"" Líntóngshān 临潼山
 Schauspielername[?]: Guō Yì Táng 郭益堂
 Seite B:
 Rolle: lǎoshēng 老生(alter Mann)
 Titel: Jìzǐ - Shàngfén 寄子上坟, *(Jìzǐ ist hier eine Abkürzung für sāngyuán jìzǐ 桑园寄子""den Sohn im Maulbeerbaumgarten zurücklassen"", Shàngfén 上坟bedeutet ""ein Grab besuchen"")
 Schauspieler: Zhōu, Huátíng 周华亭",https://id.smb.museum/object/241017/titel-a--der-berg-lintong-%E8%87%A8%E6%BD%BC%E5%B1%B1-%0D%0Atitel-b--jizi---shangfen--%E5%AF%84%E5%AD%90%E4%B8%8A%E5%9D%9F,https://recherche.smb.museum/images/52/5227144_1200x1200.jpg,
1265,Geschichte der Goldenen Fessel,黄金枷锁的历史,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"(siehe auch VII_78_0812)
Ort: Běipíng 北平 
Modus: fǎnèrhuáng 反二黄
Rollentyp: huāshān 花衫 (spezielle weibliche Rolle)
Name: Chéng, Yànqiū 程艶秋
Name des Stücks: ""Geschichte der Goldenen Fessel"" Jīnsuǒjì 金鎻記, Teil 3 und 4","(siehe auch VII_78_0812)
 Ort: Běipíng 北平
 Modus: fǎnèrhuáng 反二黄
 Rollentyp: huāshān 花衫(spezielle weibliche Rolle)
 Name: Chéng, Yànqiū 程艶秋
 Name des Stücks: ""Geschichte der Goldenen Fessel"" Jīnsuǒjì金鎻记, Teil 3 und 4",https://id.smb.museum/object/241014/titel-a-geschichte-der-goldenen-fessel-%E9%87%91%E9%8E%BB%E8%A8%98-teil-3%0D%0Atitel-b-s--a-teil-4,https://recherche.smb.museum/images/52/5226587_1200x1200.jpg,
1266,Jiāng jūn lìng,将军令,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"(siehe auch VII 78/1132)
Titel A:  Jiāng jūn lìng (將軍令) * Jiāng jūn lìng ist evtl eine Melodiebildungsart bzw. Modus in der Peking-oper, von denen es einige hundert gibt.
Titel B:  Nào tóu chǎng (閙頭場); 
Rollentyp bzw. Ensembletyp: jīngbān 京班 (Ensemble aus Peking oder Peking-Oper)
quán bān hé zòu 全班合奏: bezieht sich auf das ganze Ensemble, welches zusammen spielt.
Ort: Peking
Gattung: Peking-Oper","（另见VII 78/1132）
 标题A：将军令 * 将军令可能是京剧中的一种旋律形式或模式，有数百种。
 标题B：闹头曲(閙头场); 
 角色类型或合奏类型：jīngbān 京班（京班或京剧合奏）
 quán bān hé zòu 全班合奏：指一起演奏的整个合奏团。
 地点：北京
 类型：京剧",https://id.smb.museum/object/241015/titel-a-chines--jiang-jun-ling-%E5%B0%87%E8%BB%8D%E4%BB%A4%0D%0Atitel-b-chines--naotouchang--%E9%96%99%E9%A0%AD%E5%A0%B4,https://recherche.smb.museum/images/52/5226591_1200x1200.jpg,
1267,Xiàogǎntiān,孝感天,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"(gleich wie VII 78/1038)
Ort: Peking 
Gattung: Peking-Oper
Modus: fǎn èrhuáng 反二黄
Interpreten: Chén, Délín 陳德霖 in der Qīngyī-Rolle (ernste Frauenrolle); Sūn Zuǒchén 孫佐臣 spielt das Instrument Húqín 胡琴
Titel des Stücks: Xiàogǎntiān 孝感天 *Xiào 孝 ist eine Abkürzung für xiàoxíng 孝行 (= ""kindliche Hingabe an die Eltern""), Gǎn ist  eine Abkürzung für gǎndòng 感动 (=""emotionale Ergriffenheit""), Tiān 天 bedeutet hier Himmel und meint ein himmlisches Wesen","（同VII 78/1038）
 地点：北京
 类型：京剧
 方式：fǎn èrhuáng 反二黄
 表演者：青衣角色（正剧）中的陈、德林 陈德霖； Sūn Zuǒchén 孙佐臣演奏胡琴
 曲名：Xiàogǎntiān 孝感天 *Xiào 是 xiàoxíng 孝行的缩写，Gǎn 是 ng 的缩写。 ），Tiān 天在这里是天堂的意思，是天上的存在的意思",https://id.smb.museum/object/241018/titel-a-chines---xiaogantian-%E5%AD%9D%E6%84%9F%E5%A4%A9-teil-1%0D%0Atitel-b-chines--s--a-teil-2,https://recherche.smb.museum/images/52/5227202_1200x1200.jpg,
1268,Der Päonien-Pavillon,牡丹亭,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"Ort: Kūnshān 崑山
Gattung: Kun-Oper
Rollentyp: Zhùmíng Kūnqǔ Dàjiā 著名昆曲大家 (""großartige Schauspieler der Kūn-Oper)
Interpret: Yú Zhèn Fēi (jūn) 俞掁飛君 *(jūn 君 ist nur ein Suffix für Männernamen)
Titel der Stücke: Seite A: Der Päonien-Pavillon  Mǔdāntíng  牡丹亭 ; Seite B: ""Palast des langen Lebens"" Chángshēngdiàn 長生殿
zu A unten: jīngmèng 驚夢 ""erschrecken [hier: mit Schreck aus dem Traum gerissen werden]; zu B unten:  jīngbiàn 驚變 ""überraschende Veränderung durch einen Vorfall""","地点：昆山
 团体：昆曲
 角色类型：朱明昆曲大家 著名昆曲大家
 表演者：Yú Zhèn i (jūn) 俞掁飞君 *（jūn 君只是后缀男名）
 作品标题：A页：Päonien-Pavilion Mǔdāntíng 牡丹亭；B页：“Palast des langen lebens”reck out of the Traum will be heat]；下面的B：jīngbiàn 惊变“意外的令人兴奋的旅程”",https://id.smb.museum/object/241019/titel-a-der-paonien-pavillon-%E7%89%A1%E4%B8%B9%E4%BA%AD%0D%0Atitel-b-palast-des-langen-lebens-%E9%95%B7%E7%94%9F%E6%AE%BF,https://recherche.smb.museum/images/52/5227211_1200x1200.jpg,
1269,Yángguān,阳关,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"Ort: Sūzhōu 蘇州
Gattung: Kūn-qǔ 昆, Kun-Oper
Interpreten: Gù, Chuánjiè 顧傳玠 （ursprünglicher Name Gù Shíyǔ 顧時雨，später Gù Zhìchéng 顧志成，01.1910-06.01.1965); Zhū  Chuánmíng 朱傳茗 （ursprünglicher Name 朱祖泉 Zhū Zǔquán, 1909-14.01.1974)
Titel des Stücks: Seite A: ""Einen Weidenzweig abbrechen"", Zhé liǔ 折柳; Seite B:  ""Yángguān"" (陽關) * Yángguān ist der Name eines befestigten Passes während der Westlichen Hàn-Dynastie","地点：苏州 Language
 组：昆曲、昆歌剧院
 翻译：顾传杰 顾传玠（原名顾时雨，父亲顾志成，1910年1月1日-1965年1月6日）； Zhu Chuánmíng 朱传茗（原名朱祖泉，1909-14.01.1974）
 项目标题：A 页：“A Weidenzweig Abbrechen”，折柳； B页：“阳关” * 阳关是西汉时期著名的关隘名称",https://id.smb.museum/object/241052/titel-a-einen-weidenzweig-abbrechen--%E6%8A%98%E6%9F%B3%0D%0Atitel-b-yangguan-%E9%99%BD%E9%97%9C,https://recherche.smb.museum/images/52/5227457_1200x1200.jpg,
1270,"""Tor des regenbogens""",彩虹之门,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242434/titel-a-tugend-des-gehorsams-und-des-pflichtgefuhls%0D%0Atitel-b-tor-des-regenbogens,https://recherche.smb.museum/images/54/5404617_1200x1200.jpg,
1271,"""Die Biegung des Fen-Flusses""",《汾河湾》,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242433/titel-a-die-biegung-des-fen-flusses%0D%0Atitel-b-die-biegung-des-fen-flusses,https://recherche.smb.museum/images/54/5404614_1200x1200.jpg,
1272,"""Befestigung des Perlenvorhanges""",“修复珍珠幕”,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242432/titel-a-befestigung-des-perlenvorhanges%0D%0Atitel-b-rachen-fur-eine-falsche,https://recherche.smb.museum/images/54/5404612_1200x1200.jpg,
1273,Nach Hédōng,下河东,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"Seite A: 
links: Modus èrhuáng 二簧, 
Titel: ""Auf einem Foltergerät rollen"" gǔndīngbǎn 滾釘板 *(dīngbǎn ist ein altes Foltergerät mit Nadelspitzen)
Interpret: Wú, Cǎixiá 吳彩霞
Seite B:
links: Modus: èrhuáng 二簧, 
Titel: ""Nach Hédōng"" Xià Hédōng 下河東;
Interpret: Qiáo, Jìnchén 喬藎臣","站点 A：
 链接：Modus èrhuáng 二约、
 标题：“Auf einem Tortergerät rollen” gǔndīngbǎn 滚钉板 *(dīngbǎn ist ein altes Tortergerät mit Nadelspitzen)
 解释：Wú, Cǎixiá 吴彩霞
 Se项目 B:
 链接：形式：èrhuáng二约，
 标题：“Nach Hédōng” Xià Hédōng 下河东；
 解释：Qiáo, Jìnchén 乔荩臣",https://id.smb.museum/object/241016/titel-a-auf-einem-foltergerat-rollen--%E6%BB%BE%E9%87%98%E6%9D%BF%0D%0Atitel-b-nach-hedong-%E4%B8%8B%E6%B2%B3%E6%9D%B1,https://recherche.smb.museum/images/52/5226594_1200x1200.jpg,
1274,Aufzeichnungen über die Pípa - Verabschieden in Nánpǔ,琵琶记・南浦,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"(gleich wie VII 78/1039)
Ort: Kūnshān 昆山 (identisch mit VII_78_0820)
Gattung: Kūnqǔ 昆曲 (Kūn-Oper)
Interpret: Yáng xíxián (jūn) 楊習賢(君) *(jūn 君 ist nur ein Suffix für Männernamen)
Titel des Inhalts: ""Aufzeichnungen über die (chin. Schalenhalslaute) Pípa""; Pípa jì 琵琶記 Teil 1 & 2, 
unten zu Teil 1: nánpǔ 南浦 (Abkürzung für nánpǔzhǔbié 南浦嘱别 - ""Verabschieden in Nánpǔ"") , zu Teil 2: Lánghuì 廊會 (""Treffen auf dem Korridor"")","（同VII 78/1039）
 地点：Kūnśān 昆山（与VII_78_0820相同）
 分布：Kūnqǔ 昆曲（Kūn-Oper）
 解释者：Yáng xíxián (jūn) 杨习贤(君) *（jūn 君只是一个后缀代词 )
 条目标题：“关于（中国.黄喉）烟斗的讨论”；琵琶jì 参考第 1 部分和第 2 部分，
 向下至第 1 部分：nánpǔ Ínpǔ（nánpǔzhǔbié 围场的快捷方式 - “南浦 Verabschieden”），至第 2 部分：Lánghuì（“过走廊”）",https://id.smb.museum/object/241053/titel-a-aufzeichnungen-uber-die-pipa---verabschieden-in-nanpu-%E7%90%B5%E7%90%B6%E8%A8%98%E3%83%BB%E5%8D%97%E6%B5%A6-teil-1-----,https://recherche.smb.museum/images/52/5227475_1200x1200.jpg,
1275,Der seufzende reiche Mann,叹息的富人,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"Ort: Hong Kong
Modus/Tempo: mànbǎn 慢板
Rollentyp: wéi yī chǒushēng 唯一丑生 (chǒushēng 丑生 ist der Clown)
Name des Schauspielers: Wèi, Zhòngjué 衛仲覺
Name des Stückes: ""Der seufzende reiche Mann"" yǒuqián lǎozìtàn 有銭佬自嘆
(yǒuqián bedeutet reich, lǎo alt und zìtàn bedeutet "" selbst seufzen"")","地点：香港
 模式：mànbǎn 慢板
 角色类型：wei yī chǒushēng 是小丑（chǒushēng 是小丑）
 玩家姓名：Wei，Zhongjué.卫仲觉
 物品名称：《死者王国》曼” yǒuqián lǎozìtàn 有銭佬自叹",https://id.smb.museum/object/241011/titel-a-der-seufzende-reiche-mann-%E6%9C%89%E9%8A%AD%E4%BD%AC%E8%87%AA%E5%98%86-teil-1%0D%0Atitel-b--s--a-teil-2,https://recherche.smb.museum/images/52/5226550_1200x1200.jpg,
1281,"""Der Osten erglüht""",“东方在发光”,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242413/titel-a-der-osten-ergluht%0D%0Atitel-b-wir-die-arbeiter-haben-die-kraft,https://recherche.smb.museum/images/54/5403786_1200x1200.jpg,
1283,Kluge Begegnung im Schnee,雪中遇贤,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"Beiblatt: ""Männergesang, Canton, China""
rechts: guǎng dōng diào 廣東調 (Tonmaterial: Hong Kong-Modus)
Mitte (Titelnamen): Titel A: Kluge Begegnung im Schnee  (雪中遇賢);  
Schauspieler: dà niú jīn (大牛金);  Yà xī (亞錫)
links:  qí wǔ 其五 (evtl. ""5. Teil""?)","Beiblatt: ""Männergesang, Canton, China""
 rechts: guǎng dōng diào 广东调(Tonmaterial: Hong Kong-Modus)
 Mitte (Titelnamen): Titel A: Kluge Begegnung im Schnee (雪中遇贤); 
 Schauspieler: dà niú jīn (大牛金); Yà xī (亚锡)
 links: qí wǔ 其五(evtl. ""5. Teil""?)",https://id.smb.museum/object/241798/titel-a-kluge-begegnung-im-schnee--%E9%9B%AA%E4%B8%AD%E9%81%87%E8%B3%A2------------------------titel-b-nicht,https://recherche.smb.museum/images/52/5224531_1200x1200.jpg,
1284,"""Liùláng tötet seinen Sohn""",“六郎斩子”,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"rechte Seite: Cháozhōu bān 湖州班  (""Gruppe aus Cháozhōu"")
Mitte (Titel des Stücks): ""Liùláng tötet seinen Sohn"" Liù láng zhǎn zǐ  (六郎斬子) 
links: qí sì 其四 (""4. Teil""?)","右页: Cháozhōu bān 湖州班 (""Gruppe aus Cháozhōu"")
 链接: qí sì 其四 (""第 4 排"" ?)",https://id.smb.museum/object/241776/titel-a-liulang-totet-seinen-sohn--%E5%85%AD%E9%83%8E%E6%96%AC%E5%AD%90-titel-b-nicht-bespielt,https://recherche.smb.museum/images/52/5224561_1200x1200.jpg,
1285,"""Xīchuān erobern""",“取西川”,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"Name des Schauspielers:  xiǎo bǎo shān 小保珊
Rolle: 老生唱  Lǎo Shēng chàng (Lǎo Shēng ist die Rolle des alten Mannes, chàng 唱 bedeutet einfach nur ""Gesang"")
Titel des Stücks: Qǔ xī chuān (取西川)
Ort: Shanghai 
Gattung: Peking-Oper","玩家姓名：xiǎo bǎo shān 小保珊
 角色：老生唱 Lǎo Shēng chàng （老生唱是老人的角色，chàng 唱的意思就是“格桑”）
 物品名称：Qǔ.x ī chuān（英文）
地点：上海
 加通：北京歌剧院",https://id.smb.museum/object/241786/titel-a-xichuan-erobern--%E5%8F%96%E8%A5%BF%E5%B7%9D-titel-b-nicht-bespielt,https://recherche.smb.museum/images/52/5224550_1200x1200.jpg,
1286,sān liù qǔ,三六曲,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"Name des Schauspielers: hé bān hé yǎn 合班合演 (Bedeutung nicht klar: evtl. ""ganze Gruppe""?)
Zugehörigkeit: quán tái 全臺 (""ganze Aufführung""?)
Titel des Musikstücks: sān liù qǔ (三六曲) * Der Titel ist offensichtlich nicht der Titel eines Musik- oder Opernstückes, sondern der Name eines Modus bzw. einer Tonart
Ort: Shanghai","演员姓名：hé bān hé yǎn 合班合演（意思不清楚：可能是“整个团体”？）
 所属单位：quán tái 全台（“整个表演”？）
 音乐作品名称：三 liù qǔ（三）六曲) * 标题显然不是一首音乐或一部歌剧的标题，而是一种调式或调性的名称
地点：上海",https://id.smb.museum/object/241778/titel-a-san-liu-qu-%E4%B8%89%E5%85%AD%E6%9B%B2-titel-b-nicht-bespielt,https://recherche.smb.museum/images/52/5224553_1200x1200.jpg,
1287,"Szene aus dem Theaterstück ""Chiao tze""",《乔子》,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/241925/titel-a-szene-aus-dem-theaterstuck-chiao-tze%0D%0Atitel-b-szene-aus-dem-theaterstuck,https://recherche.smb.museum/images/54/5401254_1200x1200.jpg,
1288,Der verlorene Kopfschmuck,红梅阁,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"Beiblatt: ""Shanxi""(?)   
Gattung: Peking-Oper 
rechte Seite: Féng, Chù 馮處  (chù 處 bedeutet hier in diesem Kontext ""jemand"" und zeigt an, dass der Interpret seinen Vornamen hier nicht preisgibt)
Titel A: ""Der verlorene Kopfschmuck"" yí cuì huā  (遺翠花); Titel B:  ""Rote Pflaumen-Palast"" hóng méi gé (红梅 閣)
linke Seite: bāngzi 梆子  (mit Schlagstock gespieltes Holzidiophon bzw. bestimmter Typ der Oper, auch ""Klappernoper"" genannt)","补充：《山西》（？）
 类型：京剧
 右页：Féng, Chù 冯处（chù 处在此上下文中表示“某人”，表示表演者在此不透露他的名字）
 标题 A ：“遗失的头饰” yí cuì huā (遗翠花);标题B：《红梅阁》hóng méi gé (红梅阁)
左侧：bāngzi 梆子",https://id.smb.museum/object/241800/titel-a-der-verlorene-kopfschmuck--%E9%81%BA%E7%BF%A0%E8%8A%B1------------------------------titel-b-rote,https://recherche.smb.museum/images/52/5224462_1200x1200.jpg,
1289,Lied der Guo min dang,国民党之歌,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242012/titel-a-dschan-me-lo%0D%0Atitel-b-lied-der-guo-min-dang,https://recherche.smb.museum/images/54/5401850_1200x1200.jpg,
1290,"""Guìzhī klagt jemanden an""",“桂枝告状”,中国,,,,,Ethnologisches Museum,民族学博物馆,,,"Name der Sängerin: 杞仔  Qǐzǎi  * Das Originalzeichen auf der Platte ist ein altes Zeichen von Qǐ 杞) 
Rolle: Huādàn  花旦 (Rolle der jungen oder mittelalten Frau)
Name des Stücks:  ""Guìzhī klagt jemanden an"" 桂枝告状 Guì Zhī gào zhuàng  (von rechts nach links lesen; Das dritte Schriftzeichen jí 吉 ist falsch, es muss gào 告 sein. Das letzte, nicht quadratische Schriftzeichen sollte eigentlich zhuàng 状 sein.)
Ort: 廣東, Hong Kong","演唱者姓名：杞仔 Qǐzǎi * 收录原字为杞古字）
 角色：花旦
 曲名：《桂枝告人》桂枝告状 Guì Zhī gào zhuàng （从右向左读；第三个字 jí 吉不正确，应该是 gào 告。最后一个非方形字实际上应该是 zhuàng 状。）
 地点：广东、香港",https://id.smb.museum/object/241802/titel-a-guizhi-klagt-jemanden-an-%E6%A1%82%E6%9E%9D%E5%91%8A%E7%8A%B6--titel-b-nicht-bespielt,https://recherche.smb.museum/images/52/5224426_1200x1200.jpg,
1291,Pavillon der Glücksfamilie,幸运家族的亭子,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242032/titel-a-hsin-hsua-me-neuschnee-pflaumenblute-daraus-jui-djia-go-pavillon-der,https://recherche.smb.museum/images/54/5401892_1200x1200.jpg,
1292,Decke,毯子,中国,,,Material: Baumwolle und Seide,材质：棉、丝,Ethnologisches Museum,民族学博物馆,Länge x Breite: 152 x 135 cm,长 x 宽：152 x 135 厘米,"Tafeltuch, nur Rand mit Blütenständen bestickt. Eine Schmalseite ohne Fransen.",桌布，仅边缘绣有花序。窄边无流苏。,https://id.smb.museum/object/187223/decke-tafeltuch,https://recherche.smb.museum/images/13/1384003_1200x1200.jpg,
1293,Yü ko-dsche weint am Grabe,在坟墓上哭泣,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242030/titel-a-szene-aus-dem-stuck-yu-ko-dsche-ku-mou-yu-ko-dsche-weint-am-grabe,https://recherche.smb.museum/images/54/5401888_1200x1200.jpg,
1294,Onkel Tjiu djia holt Wein,叔叔拿酒,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242029/titel-a-szene-aus-dem-stuck-tjiu-djiou-diau-djiut-onkel-tjiu-djia-holt-wein,https://recherche.smb.museum/images/54/5401886_1200x1200.jpg,
1295,"""T´ai chens Lebensgeschichte""",“太尘的一生故事”,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242436/titel-a-tai-chens-lebensgeschichte%0D%0Atitel-b-tai-chens-lebensgeschichte,https://recherche.smb.museum/images/54/5404620_1200x1200.jpg,
1296,Onkel Tjiu djia holt Wein,叔叔拿酒,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242028/titel-a-szene-aus-dem-stuck-tjiu-djiou-diau-djiut-onkel-tjiu-djia-holt-wein,https://recherche.smb.museum/images/54/5401883_1200x1200.jpg,
1297,Tjing Tschun heiratet einen Greis,《井村佳翁》,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242034/titel-a-szene-aus-dem-stuck-tjing-tschun-djia-weng-tjing-tschun-heiratet-einen,https://recherche.smb.museum/images/54/5401896_1200x1200.jpg,
1298,"""Sang Yuan Chi Tzu""",“桑园池子”,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242435/titel-a-sang-yuan-chi-tzu%0D%0Atitel-b-sang-yuan-chi-tzu,https://recherche.smb.museum/images/54/5404618_1200x1200.jpg,
1299,"""Südliche Himelspforte""",《南天之门》,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242438/titel-a-sudliche-himelspforte%0D%0Atitel-b-tugend-des-gehorsams-und-pflichtgefuhls,https://recherche.smb.museum/images/54/5404625_1200x1200.jpg,
1303,"""Pferdewagen""",《马车》,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242472/titel-a-pferdewagen%0D%0Atitel-b-volkslied,https://recherche.smb.museum/images/54/5405348_1200x1200.jpg,
1304,Lied der Tibetaner auf Volksarmee,《人民军队藏人之歌》,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242474/titel-a-lied-der-tibetaner-auf-volksarmee--solo%0D%0Atitel-b-tibetisches-volkslied,https://recherche.smb.museum/images/54/5405352_1200x1200.jpg,
1305,"Szene aus dem Stück ""Yü ko-dsche ku mou""",在坟墓上哭泣,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242031/titel-a-szene-aus-dem-stuck-yu-ko-dsche-ku-mou-yu-ko-dsche-weint-am-grabe,https://recherche.smb.museum/images/54/5401891_1200x1200.jpg,
1306,"""Rote Fahne""",“红旗”,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242475/titel-b-rote-fahne,https://recherche.smb.museum/images/54/5405354_1200x1200.jpg,
1310,"""Der Flug der Mondgöttin auf den Mond""",“月亮女神飞向月球”,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242437/titel-a-der-flug-der-mondgottin-auf-den-mond%0D%0Atitel-b-hellebandenschiessen-vor,https://recherche.smb.museum/images/54/5404624_1200x1200.jpg,
1311,"Szene aus dem Theaterstück"" Hu-örl-djiou-dsu"" (Das Füchslein rettet den Ahnherrn)",小泼妇救祖先,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242037/titel-a-szene-aus-dem-theaterstuck-hu-orl-djiou-dsu-das-fuchslein-rettet-den,https://recherche.smb.museum/images/54/5401902_1200x1200.jpg,
1312,"Szene aus dem Theaterstück ""Hu-tschung-schui-hsiang-dung-liu"" (Gefrorene Frühlingswasser fließen nach Osten), 5. u. 6. Folge",话剧《冰泉水东流》第五、六集场景,中国,,,,,Ethnologisches Museum,民族学博物馆,,,,,https://id.smb.museum/object/242038/titel-a-szene-aus-dem-theaterstuck-hu-tschung-schui-hsiang-dung-liu-gefrorene,https://recherche.smb.museum/images/54/5401904_1200x1200.jpg,
