artifactName,artifactName1,country,material,material1,library,library1,size,size1,description,description1,moreUrl,imageUrl
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1857200/gebaude,https://recherche.smb.museum/images/42/4274126_1200x1200.jpg
Panorama,全景,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,3. Turfan-Expedition 1906-1907,3.1906-1907年吐鲁番远征,https://id.smb.museum/object/1857096/panorama,https://recherche.smb.museum/images/42/4273762_1200x1200.jpg
Höhlen-Panorama,洞穴全景,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1857066/hohlen-panorama,https://recherche.smb.museum/images/42/4273709_1200x1200.jpg
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,3. Turfan-Expedition 1906-1907,3.1906-1907年吐鲁番远征,https://id.smb.museum/object/1857050/gebaude,https://recherche.smb.museum/images/42/4273758_1200x1200.jpg
Gruppenportrait,集体肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1857081/gruppenportrait,https://recherche.smb.museum/images/42/4273831_1200x1200.jpg
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1857201/gebaude,https://recherche.smb.museum/images/42/4274127_1200x1200.jpg
Panorama,全景,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,3. Turfan-Expedition 1906-1907,3.1906-1907年吐鲁番远征,https://id.smb.museum/object/1857097/panorama,https://recherche.smb.museum/images/42/4273763_1200x1200.jpg
Ruinenfeld,Ruinenfeld先生,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1857067/ruinenfeld,https://recherche.smb.museum/images/42/4273710_1200x1200.jpg
Raumansicht,房间视图,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1857052/raumansicht,https://recherche.smb.museum/images/42/4273693_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1857082/portrait,https://recherche.smb.museum/images/42/4273832_1200x1200.jpg
Gruppenportrait,集体肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1857032/gruppenportrait,https://recherche.smb.museum/images/42/4273740_1200x1200.jpg
Höhlenansicht,洞穴景观,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,3. Turfan-Expedition 1906-1907,3.1906-1907年吐鲁番远征,https://id.smb.museum/object/1857098/hohlenansicht,https://recherche.smb.museum/images/42/4273764_1200x1200.jpg
Ruinenfeld,Ruinenfeld先生,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1857068/ruinenfeld,https://recherche.smb.museum/images/42/4273711_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1857083/portrait,https://recherche.smb.museum/images/42/4273833_1200x1200.jpg
Raumansicht,房间视图,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1857053/raumansicht,https://recherche.smb.museum/images/42/4273694_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1857033/portrait,https://recherche.smb.museum/images/42/4273741_1200x1200.jpg
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1857099/gebaude,https://recherche.smb.museum/images/42/4273765_1200x1200.jpg
Ruinenfeld mit Personen,废墟场人山人海,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1857069/ruinenfeld-mit-personen,https://recherche.smb.museum/images/42/4273712_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1857084/portrait,https://recherche.smb.museum/images/42/4273834_1200x1200.jpg
Höhlen-Panorama,洞穴全景,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,1. Turfan-Expedition 1902-1903-III,1.1902-1903-III吐鲁番考察,https://id.smb.museum/object/1857054/hohlen-panorama,https://recherche.smb.museum/images/42/4273695_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1857034/portrait,https://recherche.smb.museum/images/42/4273742_1200x1200.jpg
Topf,锅,中国,"Hellbraunes Protoporzellan, olivgrün glasiert",浅棕色原瓷，橄榄绿釉,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 11,3 x 16,7 cm",高x直径：11.3 x 16.7厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1907502/topf,https://recherche.smb.museum/images/45/4564264_1200x1200.jpg
Untersatz,基础,中国,"Ton, leuchtend grüner glasiert",粘土，亮绿色釉面,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 2,8 x 6,2 cm,Höhe: 9,5 cm (Y103, Topf auf Y104, Untersatz)",高x直径：2.8 x 6.2厘米，高：9.5厘米（Y103，Y104上的锅，底座）,[SM8HF],[SM8HF],https://id.smb.museum/object/1907820/untersatz,https://recherche.smb.museum/images/45/4564420_1200x1200.jpg
Sitzender Buddha,坐佛,中国,"Bronze, vergoldet",青铜，边缘,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 8,8 x 4,5 x 4 cm,Gewicht: 186 g",高x宽x深：8.8 x 4.5 x 4厘米，重量：186克,[SM8HF],[SM8HF],https://id.smb.museum/object/1905202/sitzender-buddha,https://recherche.smb.museum/images/45/4524570_1200x1200.jpg
Krug,圆圈,中国,"Grauer Ton, olivgrün glasiert, Craquelé",灰色粘土，橄榄绿釉面，克拉奎莱,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 14,3 x 11,2 x 10,8 cm",高x宽x深：14.3 x 11.2 x 10.8厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1907855/krug,https://recherche.smb.museum/images/45/4564491_1200x1200.jpg
Tuschereibstein Jinxing (Goldstern),金星（金星）,中国,"Stein, Jinxing shi",施，金星,Museum für Asiatische Kunst,亚洲艺术博物馆,"Objektmaß: 3 x 13 x 21,5 cm (max.),Gewicht: < 2 kg",物体尺寸：3 x 13 x 21.5厘米（最大），重量：<2公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/1908460/tuschereibstein-jinxing-goldstern,https://recherche.smb.museum/images/46/4604845_1200x1200.jpg
Schale,规模,中国,"Porzellan, auberginefarben glasiert",瓷器，茄子釉,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 4,2 x 25 cm,Durchmesser: 16,4 cm (Boden),Gewicht: 0,6 kg",高度x直径：4.2 x 25 cm，直径：16.4 cm（底部），重量：0.6 kg,[SM8HF],[SM8HF],https://id.smb.museum/object/1911082/schale,https://recherche.smb.museum/images/56/5689842_1200x1200.jpg
Topf mit zwei Henkeln,双柄锅,中国,"Roter Ton, dünn olivgrün glasiert",红粘土，薄橄榄绿上釉,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 19 x 23,4 x 20,8 cm",高x宽x深：19 x 23.4 x 20.8厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1907606/topf-mit-zwei-henkeln,https://recherche.smb.museum/images/45/4564294_1200x1200.jpg
Vase,花瓶,中国,"Porzellan, unterglasurblau und eisenrot bemalt, glasiert",瓷器，釉下蓝和铁红涂漆，上釉,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 50,8 x 7,2 cm",高度x直径：50.8 x 7.2厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1911433/vase,https://recherche.smb.museum/images/56/5691328_1200x1200.jpg
Teller mit mythologischer Szene,带有神话场景的盘子,中国,"Porzellan, Grisaille-Malerei, Gold",瓷器、灰色绘画、金色,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 2,8 x 23,1 cm,Gewicht: 0,3 kg",高度x直径：2.8 x 23.1厘米，重量：0.3公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/1904808/teller-mit-mythologischer-szene,https://recherche.smb.museum/images/46/4615570_1200x1200.jpg
Schale,规模,中国,"Porzellan, farbig bemalt, glasiert",瓷器，彩色涂漆，上釉,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 6,8 x 15,1 cm,Durchmesser: 9,5 cm (Fuß),Gewicht: 0,3 kg",高x直径：6.8 x 15.1厘米，直径：9.5厘米（英尺），重量：0.3公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/1911061/schale,https://recherche.smb.museum/images/56/5689881_1200x1200.jpg
Kleiner Berg,小山,中国,Hellgrüner Jade mit brauner Maserung,浅绿色玉，褐色颗粒,Museum für Asiatische Kunst,亚洲艺术博物馆,"Objektmaß: 20,4 x 11,5 cm","物体尺寸：20.4 x 11,5厘米",[SM8HF],[SM8HF],https://id.smb.museum/object/1911226/kleiner-berg,https://recherche.smb.museum/images/52/5223225_1200x1200.jpg
Teller,Teller,中国,"Porzellan, Grisaille-Malerei",瓷器、灰画,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 3,3 x 22,8 cm,Gewicht: 0,3 kg","高度x直径：3,3 x 22.8厘米，重量：0.3公斤",[SM8HF],[SM8HF],https://id.smb.museum/object/1911225/teller,https://recherche.smb.museum/images/50/5031058_1200x1200.jpg
Faltstuhl,折叠椅,中国,Huanghuali-Holz,黄花梨霍尔茨,Museum für Asiatische Kunst,亚洲艺术博物馆,"Objektmaß: 102 x 72 x 75,5 cm,Gewicht: ca. 11 kg",物体尺寸：102 x 72 x 75.5厘米，重量：约11公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/1920528/faltstuhl,https://recherche.smb.museum/images/46/4654012_1200x1200.jpg
Giebelförmiges Architekturdekor mit zwei Vögeln,山墙形状的双鸟建筑装饰,中国,"Holz, mit Resten von roter Farbe",带有红色残留物的木材,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 51 x 17,2 x 3,3 cm",高x宽x深：51 x 17.2 x 3.3厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1925804/giebelformiges-architekturdekor-mit-zwei-vogeln,https://recherche.smb.museum/images/58/5842517_1200x1200.jpg
Löffel,后台文件,中国,"Porzellan, farbig bemalt, gelb glasiert",彩绘黄釉瓷器,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 4,5 x 16,5 x 5,5 cm,Gewicht: unter 100 g",高x宽x深：4.5 x 16.5 x 5.5厘米，重量：100克以下,[SM8HF],[SM8HF],https://id.smb.museum/object/1911121/loffel,https://recherche.smb.museum/images/56/5689896_1200x1200.jpg
Unterteil einer großen Buddhafigur,大型佛像底部,中国,"Lehm, bemalt",奶牛，扁平,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 73,5 x 86 x 41 cm,Höhe x Breite x Tiefe: 82 x 86 x 43 cm (mit Sockel),Sockel: 8 x 80 x 38 cm,Gewicht: ca. 55 kg (geschätzt, mit Sockel)",高x宽x深：73.5 x 86 x 41 cm，高x宽×深：82 x 86 x 43 cm（带底座），底座：8 x 80 x 38 cm，重量：约55 kg（估计，带底座）,[SM8HF],[SM8HF],https://id.smb.museum/object/1920539/unterteil-einer-grossen-buddhafigur,https://recherche.smb.museum/images/46/4604665_1200x1200.jpg
Winkel einer Tür,门的角度,中国,Holz,木材,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 33,2 x 23,3 x 7 cm,Gewicht: 0,9 kg",高x宽x深：33.2 x 23.3 x 7厘米，重量：0.9公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/1925813/winkel-einer-tur,https://recherche.smb.museum/images/58/5845855_1200x1200.jpg
Teller,Teller,中国,"Porzellan, farbig bemalt, gelb glasiert",彩绘黄釉瓷器,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 5,1 x 22,5 cm,Durchmesser: 13,1 cm,Gewicht: 0,4 kg",高x直径：5.1 x 22.5厘米，直径：13.1厘米，重量：0.4公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/1911123/teller,https://recherche.smb.museum/images/56/5689897_1200x1200.jpg
"""Glückszepter"" (Ju-i)",“Glückscepter”（Ju-i）,中国,"Hellgrüner Jade, Seidenquasten",浅绿玉，丝缨,Museum für Asiatische Kunst,亚洲艺术博物馆,"Länge: 41,6 cm (gesamt),Höhe x Durchmesser: 5,5 x 10,7 cm (Kopf)",长度：41.6厘米（总计），高度x直径：5.5 x 10.7厘米（头部）,[SM8HF],[SM8HF],https://id.smb.museum/object/1911233/gluckszepter-ju-i,https://recherche.smb.museum/images/52/5223231_1200x1200.jpg
Teller,Teller,中国,"Porzellan, bemalt",瓷器，涂漆,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 3,5 x 16 cm,Durchmesser: 13 cm (Boden),Gewicht: 0,1 kg","高度x直径：3,5 x 16 cm，直径：13 cm（底部），重量：0,1 kg",[SM8HF],[SM8HF],https://id.smb.museum/object/1911064/teller,https://recherche.smb.museum/images/49/4975963_1200x1200.jpg
Kopf einer Holzstatuette,木制雕像的头部,中国,"Holz, geschnitzt",木材，雕刻,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 8,6 x 4,4 x 4,9 cm,Höhe x Breite x Tiefe: 16 x 4,5 x 4,9 cm (mit Sockel),Sockel: 7 x 4 x 4,5 cm,Gewicht: 0,1 kg (mit Sockel)",高x宽x深：8.6 x 4.4 x 4.9 cm，高x宽×深：16 x 4.5 x 4.9 cm（带底座），底座：7 x 4 x 4.5 cm，重量：0.1 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1926018/kopf-einer-holzstatuette,https://recherche.smb.museum/images/58/5845888_1200x1200.jpg
Schale,规模,中国,"Porzellan, Blaumalerei, glasiert",瓷器，蓝色绘画，上釉,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 11,2 x 22 cm,Durchmesser: 9 cm","高x直径：11,2 x 22厘米，直径：9厘米",[SM8HF],[SM8HF],https://id.smb.museum/object/1911127/schale,https://recherche.smb.museum/images/56/5689898_1200x1200.jpg
Tuschwasser-Behälter,墨盒,中国,"Porzellan mit ""peachbloom""-Glasur",孔雀釉瓷器,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 8,5 x 12,7 cm,Durchmesser: 3,2 cm (Mündung),Gewicht: < 2 kg",高度x直径：8.5 x 12.7厘米，直径：3.2厘米（枪口），重量：<2公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/1920618/tuschwasser-behalter,https://recherche.smb.museum/images/56/5689924_1200x1200.jpg
Schale,规模,中国,"Grauweißer Ton, elfenbeinfarben glasiert",灰白色粘土，象牙色釉面,Museum für Asiatische Kunst,亚洲艺术博物馆,Höhe x Durchmesser: 7 x 19 cm,高度x直径：7 x 19厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1908012/schale,https://recherche.smb.museum/images/46/4619092_1200x1200.jpg
Schale,规模,中国,"Grauer Ton, olivgrün glasiert",灰色粘土，橄榄绿釉面,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 5,1 x 11,5 cm,Gewicht: < 2 kg",身高x直径：5.1 x 11.5厘米，重量：<2公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/1907984/schale,https://recherche.smb.museum/images/46/4619216_1200x1200.jpg
Schale,规模,中国,"Metall, Emaille",金属，搪瓷,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 7,3 x 16,5 cm (Öffnung),Durchmesser: 9,8 cm (Boden)",高x直径：7.3 x 16.5厘米（开口），直径：9.8厘米（底部）,[SM8HF],[SM8HF],https://id.smb.museum/object/1908086/schale,https://recherche.smb.museum/images/56/5689911_1200x1200.jpg
Fußschale,脚部外壳,中国,"Hellgelber Ton, weiße Engobe, gelblich glasiert",浅黄色粘土，白色engobe，黄釉,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 10,6 x 8,9 cm",高x直径：10.6 x 8.9厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1908040/fussschale,https://recherche.smb.museum/images/46/4618999_1200x1200.jpg
Blütenförmige Schale,花形外壳,中国,"Weißes Porzellan, transparent bläulich glasiert (qingbai)",白瓷，透明蓝釉（青花）,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 6,6 x 12,3 cm,Gewicht: < 2 kg",身高x直径：6.6 x 12.3厘米，重量：<2公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/1908237/blutenformige-schale,https://recherche.smb.museum/images/46/4618895_1200x1200.jpg
Becher,杯子,中国,"Grauer Ton, Dawenkou-Kultur",灰色粘土，大汶口文化,Museum für Asiatische Kunst,亚洲艺术博物馆,Höhe x Breite x Tiefe: ca. 11 x 12 x 11 cm,高x宽x深：约11 x 12 x 11厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1908274/becher,https://recherche.smb.museum/images/45/4564248_1200x1200.jpg
Kanne,进入,中国,"Porzellan, Blaumalerei, glasiert",瓷器，蓝色绘画，上釉,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 31,3 x 10,5 cm",高x直径：31.3 x 10.5厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1911322/kanne,https://recherche.smb.museum/images/56/5692616_1200x1200.jpg
Schale in Form von Chrysanthemenblüten,菊花碗,中国,"Porzellan, gelb glasiert",黄釉瓷,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 4,3 x 15,6 cm,Durchmesser: 6,6 cm (Boden),Gewicht: 0,2 kg",高x直径：4.3 x 15.6厘米，直径：6.6厘米（底部），重量：0.2公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/1911073/schale-in-form-von-chrysanthemenbluten,https://recherche.smb.museum/images/56/5689840_1200x1200.jpg
Schale,规模,中国,"Porzellan, Blaumalerei, glasiert",瓷器，蓝色绘画，上釉,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 6,8 x 13,7 cm,Durchmesser: 5,1 cm,Gewicht: 0,2 kg","高x直径：6,8 x 13.7厘米，直径：5.1厘米，重量：0.2公斤",[SM8HF],[SM8HF],https://id.smb.museum/object/1911129/schale,https://recherche.smb.museum/images/56/5689899_1200x1200.jpg
knieende kopflose Holzstatuette,跪着的无头木制雕像,中国,"Holz, geschnitzt, mit Resten von Malschicht",木材，雕刻，带有油漆层残留物,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 8,7 x 5,1 x 4,5 cm,Höhe x Breite x Tiefe: 10,1 x 6,6 x 6,1 cm (mit Sockel),Sockel: 1,3 x 6,1 x 6,1 cm,Gewicht: < 0,1 kg (mit Sockel)",高x宽x深：8.7 x 5.1 x 4.5 cm，高x宽×深：10.1 x 6.6 x 6.1 cm（带底座），底座：1.3 x 6.1 x 6.1 cm，重量：<0.1 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1926019/knieende-kopflose-holzstatuette,https://recherche.smb.museum/images/58/5845890_1200x1200.jpg
Pinselkasten,刷子,中国,Porzellan mit Unterglasurblau- und Schmelzfarbendekor,釉下蓝和搪瓷装饰的瓷器,Museum für Asiatische Kunst,亚洲艺术博物馆,"Objektmaß: 10,5 x 25,2 x 10,3 cm,Gewicht: ca. 2 kg",物体尺寸：10，5 x 25，2 x 10，3厘米，重量：约2公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/1920620/pinselkasten,https://recherche.smb.museum/images/46/4604839_1200x1200.jpg
Krug,圆圈,中国,"Grauer Ton, olivgrün glasiert",灰色粘土，橄榄绿釉面,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 13 x 11,3 x 10,5 cm",高x宽x深：13 x 11.3 x 10.5厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1907985/krug,https://recherche.smb.museum/images/46/4619215_1200x1200.jpg
Schale,规模,中国,"Weißer Ton, weiße Engobe, transparent glasiert",白色粘土、白色engobe、透明釉面,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 9,7 x 15,5 cm",高x直径：9.7 x 15.5厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1908013/schale,https://recherche.smb.museum/images/46/4619091_1200x1200.jpg
Kanne,进入,中国,"Graubrauner Ton, blauschwarz glasiert",灰褐色粘土，蓝黑色釉面,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 26,3 x 15,4 x 14,9 cm",高x宽x深：26.3 x 15.4 x 14.9厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1908090/kanne,https://recherche.smb.museum/images/46/4618971_1200x1200.jpg
Krug,圆圈,中国,"Grauer Ton, weiße Engobe, transparent glasiert",灰色粘土，白色engobe，透明釉面,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 24,9 x 15,3 x 11,7 cm",高x宽x深：24.9 x 15.3 x 11.7厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1908041/krug,https://recherche.smb.museum/images/46/4618998_1200x1200.jpg
Vase,花瓶,中国,"Weißes Porzellan, transparent blaugrün glasiert (qingbai)",白瓷，透明蓝绿色釉（青花）,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe: 16 cm,Durchmesser: ca. 11 cm",高度：16厘米，直径：约11厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1908239/vase,https://recherche.smb.museum/images/46/4618894_1200x1200.jpg
Kanne in Kürbisform,南瓜形状的锅,中国,"Weißer Ton, transparent hellblau glasiert (qingbai), Craquelé",白色粘土，透明淡蓝色釉（青白），克拉奎,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe: 19 cm,Durchmesser: ca. 13 cm",高度：19厘米，直径：约13厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1908275/kanne-in-kurbisform,https://recherche.smb.museum/images/46/4618887_1200x1200.jpg
Kanne,进入,中国,"Porzellan, königsblau glasiert, Reste von Goldbemalung",瓷器，宝蓝釉，金画残余,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 29,5 x 9 cm",高度x直径：29.5 x 9厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1911367/kanne,https://recherche.smb.museum/images/56/5691327_1200x1200.jpg
Schale,规模,中国,"Porzellan, gelb glasiert",黄釉瓷,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 2,8 x 13,2 cm,Durchmesser: 7,6 cm (Boden),Gewicht: 0,1 kg",高x直径：2.8 x 13.2厘米，直径：7.6厘米（底部），重量：0.1公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/1911078/schale,https://recherche.smb.museum/images/56/5689841_1200x1200.jpg
Kanne,进入,中国,"Cremefarbener Ton,Engobe, elfenbeinfarben glasiert",乳白色粘土，engobe，象牙色釉面,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 13,9 x 11,5 cm",高x直径：13.9 x 11.5厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1907752/kanne,https://recherche.smb.museum/images/45/4564380_1200x1200.jpg
Knabe mit Flöte,长笛男孩,中国,"Holz, geschnitzt, mit Farbresten",木材，雕刻，有油漆残留物,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 8 x 5,4 x 1,5 cm,Höhe x Breite x Tiefe: 9,3 x 7 x 2,3 cm (mit Sockel),Sockel: 1 x 7 x 2,3 cm,Gewicht: < 0,1 kg (mit Sockel)",高x宽x深：8 x 5.4 x 1.5 cm，高x宽×深：9.3 x 7 x 2.3 cm（带底座），底座：1 x 7 x 2.3cm，重量：<0.1 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1926020/knabe-mit-flote,https://recherche.smb.museum/images/58/5842346_1200x1200.jpg
Deckelkasten,盖盒,中国,Porzellan mit Fünffarben-Dekor (chin. wucai),五彩瓷,Museum für Asiatische Kunst,亚洲艺术博物馆,"Objektmaß: 6,1 x 8,8 x 8,8 cm,Gewicht: < 2 kg",物体尺寸：6.1 x 8.8 x 8.8 cm，重量：<2 kg,[SM8HF],[SM8HF],https://id.smb.museum/object/1920621/deckelkasten,https://recherche.smb.museum/images/49/4982026_1200x1200.jpg
Schale,规模,中国,"Metall, Emaille",金属，搪瓷,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Durchmesser: 6,3 x 13,5 cm (Öffnung),Durchmesser: 7,5 cm (Boden)",高x直径：6.3 x 13.5厘米（开口），直径：7.5厘米（底部）,[SM8HF],[SM8HF],https://id.smb.museum/object/1911131/schale,https://recherche.smb.museum/images/56/5689908_1200x1200.jpg
